Title,Address,Url
ESTIMATOR - Miscellaneous & Architectural Metals,Maspeth,https://newyork.craigslist.org/que/egr/d/estimator-miscellaneous/6632213731.html
Technical Design / General Purpose Smart Person / Technical Support,Canal Street,https://newyork.craigslist.org/mnh/egr/d/technical-design-general/6631253906.html
Mechanical Engineer Wanted,,https://newyork.craigslist.org/que/egr/d/mechanical-engineer-wanted/6631101586.html
Project Manager,Brooklyn,https://newyork.craigslist.org/brk/egr/d/project-manager/6631084553.html
Manufacturing Mechanical Engineer,,https://newyork.craigslist.org/que/egr/d/manufacturing-mechanical/6630859045.html
Office Engineer (BRONX),,https://newyork.craigslist.org/brx/egr/d/office-engineer-bronx/6630502590.html
Facade / Building Envelope Architect or Engineer w/ CA Experience,TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6630449294.html
Part-time SketchUp Model-builder needed.,,https://newyork.craigslist.org/mnh/egr/d/part-time-sketchup-model/6630381319.html
Project Coordinator - Steel Construction Company,Queens,https://newyork.craigslist.org/que/egr/d/project-coordinator-steel/6630260123.html
Project Architect,Financial District,https://newyork.craigslist.org/mnh/egr/d/project-architect/6630228347.html
Operating Engineer and Maintenance Associate,Upper East Side,https://newyork.craigslist.org/mnh/egr/d/operating-engineer-and/6630222711.html
MECHANICAL PROJECT SUPERVISOR,NYC,https://newyork.craigslist.org/mnh/egr/d/mechanical-project-supervisor/6630188128.html
Architect / Drafter,,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6630135090.html
Lead HVAC Mechanic Needed,Rye.,https://newyork.craigslist.org/wch/egr/d/lead-hvac-mechanic-needed/6630041108.html
Freelance MEP Engineer,Midtown,https://newyork.craigslist.org/mnh/egr/d/freelance-mep-engineer/6629985856.html
AUTO CAD DRAFTER / DETAILER,,https://newyork.craigslist.org/brk/egr/d/auto-cad-drafter-detailer/6629971310.html
Drafter Construction MEP / Mechanical Engineer,College Point,https://newyork.craigslist.org/que/egr/d/drafter-construction-mep/6629891243.html
"IT'S WHO YOU KNOW, OR CAN FIND! UP TO $300K LAND SALES",,https://newyork.craigslist.org/mnh/egr/d/its-who-you-know-or-can-find/6629730512.html
Jr. Designer/Associate for Architectural Work and Interior Design work,SoHo,https://newyork.craigslist.org/mnh/egr/d/jr-designer-associate-for/6629565899.html
Model Maker,new haven,https://newyork.craigslist.org/mnh/egr/d/model-maker/6629541622.html
Maintenance Engineer,,https://newyork.craigslist.org/mnh/egr/d/maintenance-engineer/6629530217.html
Experienced Senior Construction Manager,White Plains,https://newyork.craigslist.org/wch/egr/d/experienced-senior/6629344747.html
CURRENTLY HIRING FULL-TIME CAD DRAFTSMAN,Queens,https://newyork.craigslist.org/que/egr/d/currently-hiring-full-time/6629187212.html
Construction Supervisor,,https://newyork.craigslist.org/mnh/egr/d/construction-supervisor/6628649688.html
Procore Data Management,,https://newyork.craigslist.org/brk/egr/d/procore-data-management/6628631250.html
Exciting Jr Estimator/Drafter role in trendy LIC! Locals ONLY,"Long Island City, NY",https://newyork.craigslist.org/que/egr/d/exciting-jr-estimator-drafter/6628524787.html
Project Architect,Williamsburg,https://newyork.craigslist.org/brk/egr/d/project-architect/6628484761.html
Seeking REAL HelloFresh customers!,,https://newyork.craigslist.org/mnh/egr/d/seeking-real-hellofresh/6628295639.html
Automotive Technician,Bill Volz Westchester,https://newyork.craigslist.org/wch/egr/d/automotive-technician/6628219050.html
Trainee Project Manager at High-End Glass Wall Company,Chelsea,https://newyork.craigslist.org/mnh/egr/d/trainee-project-manager-at/6628179017.html
ELECTRICAL Project Manager,LIC,https://newyork.craigslist.org/que/egr/d/electrical-project-manager/6628145427.html
Intermediate and Junior Architect,"Flushing, Queens",https://newyork.craigslist.org/que/egr/d/intermediate-and-junior/6627967423.html
Architectural Drafter,FLUSHING,https://newyork.craigslist.org/que/egr/d/architectural-drafter/6627754190.html
Industrial Manufacturing Engineer (up to $75k),"Queens, NY",https://newyork.craigslist.org/que/egr/d/industrial-manufacturing/6627698985.html
Lighting Design Intern,Greenpoint/Brooklyn,https://newyork.craigslist.org/brk/egr/d/lighting-design-intern/6627652997.html
CAD Drafter - Construction,Westchester,https://newyork.craigslist.org/wch/egr/d/cad-drafter-construction/6627600757.html
Senior Hardware/Software Electrical Engineer,"Smithtown, NY",https://newyork.craigslist.org/lgi/egr/d/senior-hardware-software/6627563431.html
Project Manager,,https://newyork.craigslist.org/jsy/egr/d/project-manager/6627523376.html
Seeking a senior Project Manager for a rising Metal and Glass Company!,,https://newyork.craigslist.org/mnh/egr/d/seeking-senior-project/6627009687.html
Structural Engineer,Flushing,https://newyork.craigslist.org/que/egr/d/structural-engineer/6627468607.html
Architectural Draftsperson,GREAT NECK,https://newyork.craigslist.org/que/egr/d/architectural-draftsperson/6627456059.html
Mid-Level Architect: 5-10 years of Experience,,https://newyork.craigslist.org/que/egr/d/mid-level-architect-5-10/6627315978.html
Arch Designers w/ Mixed-Use/High-Rise Projects - Immediate Hire,SoHo,https://newyork.craigslist.org/mnh/egr/d/arch-designers-mixed-use-high/6627275297.html
Scene Shop Technical Designer,,https://newyork.craigslist.org/brk/egr/d/scene-shop-technical-designer/6627212108.html
Administrative Assistant for Project Management,Chelsea,https://newyork.craigslist.org/mnh/egr/d/administrative-assistant-for/6626756501.html
Construction Inspector - Railroad Construction - Queens/Nassau County,Queens,https://newyork.craigslist.org/que/egr/d/construction-inspector/6626626884.html
VM/Store Designer - Cinema 4D,Midtown,https://newyork.craigslist.org/mnh/egr/d/vm-store-designer-cinema-4d/6626625361.html
CONSTRUCTION ENGINEER/ASSISTANT PROJECT MANAGER,BELLEROSE,https://newyork.craigslist.org/que/egr/d/construction-engineer/6626598230.html
NEW Luxury Artistic Flower Shop Seeks F/T Florist/Operations Manager,Brooklyn,https://newyork.craigslist.org/brk/egr/d/new-luxury-artistic-flower/6626593356.html
Senior Project Architect/ Project Manager,Midtown East,https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626591589.html
RUSSIAN-SPEAKING ENGINEER,Downtown,https://newyork.craigslist.org/mnh/egr/d/russian-speaking-engineer/6626536372.html
Project Manager: Steel Company with NYC projects,NYC,https://newyork.craigslist.org/brx/egr/d/project-manager-steel-company/6626523256.html
Structural Engineer P.E.,,https://newyork.craigslist.org/brk/egr/d/structural-engineer-pe/6626506251.html
Project Architect for boutique office,Chelsea,https://newyork.craigslist.org/mnh/egr/d/project-architect-for/6626481899.html
Architectural  drafting person,,https://newyork.craigslist.org/brk/egr/d/architectural-drafting-person/6626360490.html
Construction Project Manager / Estimator,Mount Vernon,https://newyork.craigslist.org/brx/egr/d/construction-project-manager/6626355759.html
Construction Estimator Needed,Mount Vernon,https://newyork.craigslist.org/wch/egr/d/construction-estimator-needed/6626322102.html
Senior Project Architect (Associate),,https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626292744.html
IT Support Specialist / CAD Specialist,Flatiron,https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6626263104.html
Architect -Full Time-Immediate Hire,Staten Island,https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate/6624814792.html
Construction Admin needed,,https://newyork.craigslist.org/que/egr/d/construction-admin-needed/6624614995.html
Project architect,,https://newyork.craigslist.org/mnh/egr/d/project-architect/6624298957.html
Junior Lighting Designer - Residential,Harlem / Morningside,https://newyork.craigslist.org/mnh/egr/d/junior-lighting-designer/6623962844.html
Civil Engineer - Heavy Civil (Nassau County),NYC and LI,https://newyork.craigslist.org/que/egr/d/civil-engineer-heavy-civil/6623945305.html
Look for a part-time NYS PE,,https://newyork.craigslist.org/que/egr/d/look-for-part-time-nys-pe/6623931418.html
FIELD ENGINEER/ASSISTANT SUPERINTENDENT,BROOKLYN,https://newyork.craigslist.org/brk/egr/d/field-engineer-assistant/6623700659.html
assnt project manager,ffld cnty,https://newyork.craigslist.org/fct/egr/d/assnt-project-manager/6623660981.html
Office Engineer,"Westchester County, NY",https://newyork.craigslist.org/wch/egr/d/office-engineer/6623345287.html
Structural Engineer for Facades/Curtainwall,,https://newyork.craigslist.org/brk/egr/d/structural-engineer-for/6623279683.html
Drafter wanted - full time,Greenpoint/Brooklyn,https://newyork.craigslist.org/brk/egr/d/drafter-wanted-full-time/6623127478.html
Architectural Metal Cost Estimator,East Williamsburg,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6623101745.html
Junior Architect (3+ years experience),Chelsea,https://newyork.craigslist.org/mnh/egr/d/junior-architect-3-years/6622982399.html
Architect Assistant,Midtown,https://newyork.craigslist.org/mnh/egr/d/architect-assistant/6622951515.html
Landscape - Assistant Estimator / Designer,"Armonk, NY",https://newyork.craigslist.org/wch/egr/d/landscape-assistant-estimator/6622440903.html
Dental Cad Cam Technician,,https://newyork.craigslist.org/brk/egr/d/dental-cad-cam-technician/6622376909.html
SUMMER OFFICE HELP,ASTORIA,https://newyork.craigslist.org/que/egr/d/summer-office-help/6622267700.html
Project Architect (High-end Retail & Hospitality),Flatiron,https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6622216043.html
